Region;2000 Forest Area;2000 Land Area;2000 Proportion Calculated;2000 Proportion SDG;Differenz;2010 Forest Area;2010 Land Area;2010 Proportion Calculated;2010 Proportion SDG;Differenz;2020 Forest Area;2020 Land Area;2020 Proportion Calculated;2020 Proportion SDG;Differenz;Nature Forest Area;Nature Land Area;Nature Proportion;Aggregate;Entwicklung Waldfläche effektiv;Entwicklung Waldfläche proportional;Region
Afghanistan;1208.44;65286.00;1.85;1.85;0.00;1208.44;65286;1.85;1.85;0.00;1208.44;65286.00;1.85;1.85;0.00;;;;;0.00;0.00;Afghanistan
Africa;710048.85;2989062.78;23.75;23.76;-0.01;676015.37;2989133.78;22.62;22.62;-0.01;636638.97;2989150.92;21.30;21.30;-0.01;;;;yes;-73409.88;-2.46;Africa
Åland Islands;0.00;158.00;0.00;0.00;0.00;0.00;158;0.00;0.00;0.00;0.00;158.00;0.00;0.00;0.00;;;;;0.00;0.00;Åland Islands
Albania;769.30;2740.00;28.08;28.08;0.00;782.07;2740;28.54;28.54;0.00;788.90;2740.00;28.79;28.79;0.00;;;;;19.60;0.72;Albania
Algeria;1579.00;238174.00;0.66;0.66;0.00;1918.00;238174;0.81;0.81;0.00;1949.00;238174.10;0.82;0.82;0.00;;;;;370.00;0.16;Algeria
American Samoa;17.73;20.00;88.65;88.65;0.00;17.43;20;87.15;87.15;0.00;17.13;20.00;85.65;85.65;0.00;;;;;-0.60;-3.00;American Samoa
Americas;1674994.03;3868304.90;43.30;43.30;0.00;1624344.25;3866764.9;42.01;42.01;0.00;1596895.79;3866481.60;41.30;41.31;0.00;;;;yes;-78098.24;-2.00;Americas
Andorra;16.00;47.00;34.04;34.04;0.00;16.00;47;34.04;34.04;0.00;16.00;47.00;34.04;34.04;0.00;;;;;0.00;0.00;Andorra
Angola;77708.61;124670.00;62.33;62.33;0.00;72158.00;124670;57.88;57.88;0.00;66607.38;124670.00;53.43;53.43;0.00;;;;;-11101.23;-8.90;Angola
Anguilla;5.50;9.00;61.11;61.11;0.00;5.50;9;61.11;61.11;0.00;5.50;9.00;61.11;61.11;0.00;;;;;0.00;0.00;Anguilla
Antigua and Barbuda;9.45;44.00;21.48;21.48;0.00;8.78;44;19.95;19.95;0.00;8.12;44.00;18.45;18.45;0.00;;;;;-1.33;-3.02;Antigua and Barbuda
Argentina;33378.00;273669.00;12.20;12.20;0.00;30214.00;273669;11.04;11.04;0.00;28573.00;273669.00;10.44;10.44;0.00;;;;;-4805.00;-1.76;Argentina
Armenia;332.64;2847.00;11.68;11.68;0.00;330.56;2847;11.61;11.61;0.00;328.47;2847.00;11.54;11.54;0.00;;;;;-4.17;-0.15;Armenia
Aruba;0.42;18.00;2.33;2.33;0.00;0.42;18;2.33;2.33;0.00;0.42;18.00;2.33;2.33;0.00;;;;;0.00;0.00;Aruba
Asia;587599.96;3110296.90;18.89;18.89;0.00;610959.91;3109816.84;19.65;19.65;0.00;622686.81;3110413.18;20.02;20.02;0.00;;;;yes;35086.85;1.13;Asia
Australia;131814.10;768230.00;17.16;17.16;0.00;129546.10;768230;16.86;16.86;0.00;134005.10;769202.00;17.42;17.42;0.00;;;;;2191.00;0.26;Australia
Australia and New Zealand;141665.03;794616.67;17.83;17.83;0.00;139394.71;794616.67;17.54;17.54;0.00;143898.18;795588.67;18.09;18.09;0.00;;;;yes;2233.15;0.26;Australia and New Zealand
Austria;3838.14;8258.00;46.48;46.48;0.00;3863.20;8257.1;46.79;46.79;0.00;3899.15;8252.00;47.25;47.25;0.00;;;;;61.01;0.77;Austria
Azerbaijan;987.22;8260.50;11.95;11.95;0.00;1032.49;8265.6;12.49;12.49;0.00;1131.77;8265.40;13.69;13.69;0.00;;;;;144.55;1.74;Azerbaijan
Bahamas;509.86;1001.00;50.94;50.94;0.00;509.86;1001;50.94;50.94;0.00;509.86;1001.00;50.94;50.94;0.00;;;;;0.00;0.00;Bahamas
Bahrain;0.37;71.00;0.52;0.52;0.00;0.52;76.2;0.68;0.68;0.00;0.70;78.00;0.90;0.90;0.00;;;;;0.33;0.38;Bahrain
Bangladesh;1920.33;13017.00;14.75;14.75;0.00;1888.34;13017;14.51;14.51;0.00;1883.40;13017.00;14.47;14.47;0.00;;;;;-36.93;-0.28;Bangladesh
Barbados;6.30;43.00;14.65;14.65;0.00;6.30;43;14.65;14.65;0.00;6.30;43.00;14.65;14.65;0.00;;;;;0.00;0.00;Barbados
Belarus;8273.00;20284.00;40.79;40.79;0.00;8630.00;20290;42.53;42.53;0.00;8767.60;20298.00;43.19;43.19;0.00;;;;;494.60;2.41;Belarus
Belgium;667.30;3028.00;22.04;22.04;0.00;689.87;3028;22.78;22.78;0.00;689.30;3028.00;22.76;22.76;0.00;;;;;22.00;0.73;Belgium
Belize;1459.30;2281.00;63.98;63.98;0.00;1391.39;2281;61.00;61.00;0.00;1277.05;2281.00;55.99;55.99;0.00;;;;;-182.25;-7.99;Belize
Benin;4135.15;11276.00;36.67;36.67;0.00;3635.15;11276;32.24;32.24;0.00;3135.15;11276.00;27.80;27.80;0.00;;;;;-1000.00;-8.87;Benin
Bermuda;1.00;5.40;18.52;18.52;0.00;1.00;5.4;18.52;18.52;0.00;1.00;5.40;18.52;18.52;0.00;;;;;0.00;0.00;Bermuda
Bhutan;2606.00;3980.00;65.48;65.48;0.00;2705.29;3811.7;70.97;70.97;0.00;2725.08;3814.00;71.45;71.45;0.00;;;;;119.08;5.97;Bhutan
Bolivia (Plurinational State of);55101.39;108330.00;50.86;50.86;0.00;53086.01;108330;49.00;49.00;0.00;50833.76;108330.00;46.92;46.92;0.00;;;;;-4267.63;-3.94;Bolivia (Plurinational State of)
Bonaire, Sint Eustatius and Saba;1.91;32.20;5.93;5.93;0.00;1.91;32.2;5.93;5.93;0.00;1.91;32.20;5.93;5.93;0.00;;;;;0.00;0.00;Bonaire, Sint Eustatius and Saba
Bosnia and Herzegovina;2111.65;5120.00;41.24;41.24;0.00;2102.66;5120;41.07;41.07;0.00;2187.91;5120.00;42.73;42.73;0.00;;;;;76.26;1.49;Bosnia and Herzegovina
Botswana;17620.70;56673.00;31.09;31.09;0.00;16437.70;56673;29.00;29.00;0.00;15254.70;56673.00;26.92;26.92;0.00;;;;;-2366.00;-4.17;Botswana
Brazil;551088.60;835814.00;65.93;65.93;0.00;511580.70;835814;61.21;61.21;0.00;496619.60;835814.00;59.42;59.42;0.00;;;;;-54469.00;-6.52;Brazil
British Indian Ocean Territory;0.00;6.00;0.00;0.00;0.00;0.00;6;0.00;0.00;0.00;0.00;6.00;0.00;0.00;0.00;;;;;0.00;0.00;British Indian Ocean Territory
British Virgin Islands;3.67;15.00;24.47;24.47;0.00;3.64;15;24.27;24.27;0.00;3.62;15.00;24.13;24.13;0.00;;;;;-0.05;-0.33;British Virgin Islands
Brunei Darussalam;397.00;527.00;75.33;75.33;0.00;380.00;527;72.11;72.11;0.00;380.00;527.00;72.11;72.11;0.00;;;;;-17.00;-3.23;Brunei Darussalam
Bulgaria;3375.00;11063.00;30.51;30.51;0.00;3737.00;10856;34.42;34.42;0.00;3893.00;10856.00;35.86;35.86;0.00;;;;;518.00;5.35;Bulgaria
Burkina Faso;7216.50;27360.00;26.38;26.38;0.00;6716.50;27360;24.55;24.55;0.00;6216.40;27360.00;22.72;22.72;0.00;;;;;-1000.10;-3.66;Burkina Faso
Burundi;193.94;2568.00;7.55;7.55;0.00;193.94;2568;7.55;7.55;0.00;279.64;2568.00;10.89;10.89;0.00;;;;;85.70;3.34;Burundi
Cabo Verde;39.72;403.00;9.86;9.86;0.00;42.72;403;10.60;10.60;0.00;45.72;403.00;11.34;11.34;0.00;;;;;6.00;1.49;Cabo Verde
Cambodia;10781.00;17652.00;61.08;61.08;0.00;10589.23;17652;59.99;59.99;0.00;8068.37;17652.00;45.71;45.71;0.00;;;;;-2712.63;-15.37;Cambodia
Cameroon;21597.49;47271.00;45.69;45.69;0.00;20900.48;47271;44.21;44.21;0.00;20340.48;47271.00;43.03;43.03;0.00;;;;;-1257.01;-2.66;Cameroon
